Gene	IM-day2	Day2-day4	Day4-day8
AT1G01010	1.95318	0	3.95755333333333
AT1G01130	-2.68868	0	0
AT1G01200	-2.77992	0	0
AT1G01250	-2.34738333333333	2.221265	0
AT1G01340	1.98875	0	1.86837
AT1G01380	-7.2001	0	4.29882
AT1G01480	47.580025	-8.74136	7.09696
AT1G01530	1.86917	0	0
AT1G01560	4.1333375	-5.649655	2.0207525
AT1G01580	1.84313	2.08282	7.32287
AT1G01600	-2.20794	0	12.84941
AT1G01680	7.93372	-3.15965	2.14847
AT1G01720	2.68945	0	0
AT1G02040	2.28262	-3.00754	2.930845
AT1G02205	-2.04169	2.54395	2.665465
AT1G02220	7.84064	-3.25891	19.1304
AT1G02230	3.21277	-2.11357333333333	0
AT1G02250	2.791975	0	9.45787
AT1G02360	12.3405	-5.3328	0
AT1G02390	-1.95116	4.0491	5.70625
AT1G02400	45.16681	-7.07918	10.35082
AT1G02405	3.87002	0	0
AT1G02460	4.97883	2.18286	4.36608
AT1G02520	9.96936	-4.82484	0
AT1G02530	7.01132	-3.843	0
AT1G02590	-2.54372	0	0
AT1G02610	12.86298	0	3.43995
AT1G02710	-2.73454	0	0
AT1G02750	2.73619	-1.81585	0
AT1G02800	-2.02922	0	0
AT1G02810	-1.81227	0	0
AT1G02850	4.28536	0	3.82028
AT1G02860	1.89238	0	1.86562
AT1G02920	270.66028	-10.998	3.41583
AT1G02930	30.49229	-9.54163	5.67077
AT1G02970	-1.86916	0	-2.27423333333333
AT1G03010	3.12488	0	0
AT1G03220	6.72599	-2.48568	3.07532
AT1G03230	3.13292	0	0
AT1G03340	-2.25988	0	0
AT1G03502	-2.14835	0	1.9863
AT1G03610	1.8251	0	0
AT1G03660	1.92706	0	0
AT1G03700	-1.82543	0	0
AT1G03720	-2.21691	0	0
AT1G03740	1.88317	-2.56257	0
AT1G03850	3.804335	-2.123975	4.19886
AT1G03905	2.31757	0	2.4063
AT1G03940	-5.16689	0	-2.32134
AT1G04020	-1.95387	0	0
AT1G04310	2.47981	-2.17249666666667	0
AT1G04540	-1.98766	0	-2.0806
AT1G04570	-1.91914	0	0
AT1G04650	-1.83002	0	-1.89469
AT1G04660	-2.27339	0	0
AT1G04670	-2.54196	0	0
AT1G05010	12.75395	-3.95642	3.54711
AT1G05020	1.83186	-1.96483	0
AT1G05065	-1.99723	0	0
AT1G05135	3.12874	0	0
AT1G05136	1.99271	0	0
AT1G05260	-1.83218	0	0
AT1G05370	-1.89702	0	0
AT1G05420	-3.45503	3.62089	0
AT1G05490	3.56723	2.29781	1.91315
AT1G05530	4.688	-2.12199	1.91258
AT1G05560	5.08558	0	1.9596
AT1G05575	5.48895	-3.44785	0
AT1G05680	48.1805	-5.14603	6.61235
AT1G05800	3.12151	-2.8124	6.37851
AT1G05880	17.28558	-13.48711	0
AT1G06090	-2.88284	0	0
AT1G06100	-3.91715	0	0
AT1G06135	3.81551	-3.03099	0
AT1G06137	13.50175	-8.83798	0
AT1G06160	5.38711666666667	-10.3291333333333	-2.27851333333333
AT1G06170	-2.16644	0	8.80020333333333
AT1G06180	2.19371666666667	0	0
AT1G06350	-2.96629	0	0
AT1G06360	-2.1383	2.60275	0
AT1G06470	-2.03279	0	0
AT1G06520	7.52965	0	3.13172
AT1G06570	2.07075	0	3.09912
AT1G06620	5.39351	-1.98277	3.94453
AT1G06840	1.87703	0	0
AT1G06920	-8.23885	0	4.44318
AT1G06930	3.034	-3.78037	0
AT1G07000	2.49534	-2.43206	0
AT1G07050	-2.0858	0	3.28479
AT1G07090	3.49859	0	0
AT1G07135	29.25866	-6.43976	2.70205
AT1G07160	34.79922	-4.40463	2.40012
AT1G07240	2.79227	0	2.09799
AT1G07270	-2.33676	0	0
AT1G07370	-2.50411	0	0
AT1G07430	1.85714	0	15.25475
AT1G07440	-2.16734	0	0
AT1G07500	2.00861	0	0
AT1G07520	2.031295	0	0
AT1G07620	43.45088	-12.02882	0
AT1G07720	-1.88651	0	2.79577
AT1G07900	6.67691	-3.488665	2.44078
AT1G08050	4.10821	-3.32118	3.42157
AT1G08115	2.31596	0	0
AT1G08170	1.95724	0	0
AT1G08440	-3.21721	0	-6.00893
AT1G08500	-1.98986	0	0
AT1G08810	-2.3514	0	0
AT1G08900	1.81125	0	0
AT1G08930	4.0648	-5.14765	0
AT1G08940	5.03512	-3.17728	0
AT1G09250	1.89385	0	0
AT1G09440	-1.86515	0	0
AT1G09480	2.89937	0	0
AT1G09540	2.500595	-3.93205	0
AT1G09560	1.83069	-1.87483	2.0638
AT1G09750	-2.32277	0	-1.86562
AT1G09860	3.06807	0	2.84441
AT1G09932	8.32003	-2.62428	5.69527
AT1G09940	2.20145	0	0
AT1G09970	5.58103666666667	-2.25126333333333	0
AT1G10010	6.05112	0	0
AT1G10060	1.91972	0	0
AT1G10070	1.91982	0	9.5465
AT1G10140	17.98073	-4.06621	8.49476
AT1G10155	4.62611	-4.00443	2.9932
AT1G10170	4.77396	-2.69548	2.16715
AT1G10340	2.92444	-2.73648	0
AT1G10380	-1.87343	0	0
AT1G10522	2.26158	0	0
AT1G10530	-1.88653	0	2.83892
AT1G10585	8.70932	-4.12195	158.17816
AT1G10640	-1.92806	0	0
AT1G10657	-2.09692	1.87305	0
AT1G10710	-2.050195	0	-2.73819
AT1G10800	-2.16808	0	0
AT1G10880	12.48426	-12.05224	0
AT1G10980	-2.32787	0	0
AT1G11050	2.91426333333333	-2.77532	0
AT1G11070	3.30901	1.8525	-3.14224
AT1G11170	-2.16305	0	0
AT1G11185	2.7136	0	2.67551
AT1G11210	2.33371	0	0
AT1G11300	1.95921	0	0
AT1G11310	4.74006	0	0
AT1G11330	2.63359666666667	0	0
AT1G11360	-2.61061	0	0
AT1G11580	3.66704	0	4.89021
AT1G11600	-2.32576	0	0
AT1G11610	27.79143	-23.12086	0
AT1G11700	-2.07903	0	0
AT1G11925	5.54905	-4.2472	6.66844
AT1G12010	-1.91879	2.07469	0
AT1G12200	2.71796	0	3.09379
AT1G12210	2.12513	0	2.04728
AT1G12220	5.11358	-3.25139	0
AT1G12320	4.22992	-1.81548	3.95674
AT1G12440	-1.95041	0	0
AT1G12480	4.30651	0	2.43185
AT1G12570	-2.79559	0	8.14873
AT1G12610	1.93881	-1.82803	3.75401
AT1G12630	-2.054675	0	2.38872
AT1G12845	-2.35094	2.49388	1.95505
AT1G12860	-1.913565	1.94223	0
AT1G12940	40.00542	-2.09301	-8.17339
AT1G12980	-1.93770666666667	0	-3.61494666666667
AT1G13130	-8.19092	0	0
AT1G13210	3.15855	-2.23595	0
AT1G13230	5.39579	2.90542	0
AT1G13245	3.04933	0	2.54927
AT1G13260	2.32795333333333	-4.99645	0
AT1G13290	-2.30432666666667	0	-1.8092
AT1G13340	1.96622	0	3.68066
AT1G13400	2.38405	2.34523	0
AT1G13470	2.10811	-2.8081	0
AT1G13480	4.79121	0	2.22108
AT1G13520	38.41344	-12.2644	14.45449
AT1G13590	2.34629	-1.95404	0
AT1G13600	2.05191	0	0
AT1G13670	5.41258	0	-2.56335
AT1G13680	1.99026	2.1231	0
AT1G13700	2.27949	0	0
AT1G13830	2.31892	0	0
AT1G13990	2.38691	0	2.7951
AT1G14040	2.07412	-2.22448	0
AT1G14070	20.34348	0	3.47035
AT1G14120	2.85615	5.07806	1.90779
AT1G14150	-2.090885	0	0
AT1G14210	1.89402	0	0
AT1G14370	4.98651	-3.39382666666667	3.92513
AT1G14390	3.03726	0	-1.87521
AT1G14440	-2.06588333333333	0	0
AT1G14540	4.40496	-4.85719	10.54549
AT1G14686	-1.97831	0	0
AT1G14760	-5.19285	0	1.90363
AT1G14860	3.52958	0	21.13197
AT1G14870	11.46863	-3.66064	3.22556
AT1G15010	4.31479	0	6.48277
AT1G15125	8.22001	-3.57941	0
AT1G15170	13.8578	-3.83149	0
AT1G15210	2.58953	15.64474	-2.45513
AT1G15310	-1.99074	0	0
AT1G15350	3.54888	0	0
AT1G15380	-1.84941	1.99699	4.12765
AT1G15415	15.31885	-3.41655	11.70287
AT1G15430	1.939	0	1.967695
AT1G15520	15.84439	-10.20424	4.04789
AT1G15540	3.13385	-3.36706	0
AT1G15630	-2.59983	0	0
AT1G15790	2.01282	-2.19109	0
AT1G16130	2.28448	0	2.87037333333333
AT1G16150	4.530415	-2.63702	3.576725
AT1G16490	-1.90117333333333	0	-1.82235
AT1G16530	-2.8522	0	0
AT1G16670	2.05952	-1.94514	0
AT1G16850	-3.43059	4.45145	5.12287
AT1G16960	-2.098	0	1.84924
AT1G17147	10.53952	-3.3876	-1.85369
AT1G17170	20.17214	-8.02388	5.45204
AT1G17180	63.16936	-15.55302	0
AT1G17260	-2.17916	0	-1.82343
AT1G17290	1.85271	0	2.04883
AT1G17380	2.92981	0	3.57331
AT1G17420	2.74964	0	9.67029
AT1G17610	2.02921	-2.14013	0
AT1G17744	4.73561	-3.26502	2.41057
AT1G17745	2.53871	0	2.57323
AT1G17750	2.31523	-2.188615	2.00162333333333
AT1G17830	2.69723	0	2.06881
AT1G17860	2.28008	0	1.8905
AT1G17920	-2.04317	0	-1.89328
AT1G17990	11.8211	-2.27187	1.89409
AT1G18020	11.40022	-2.23004	2.21147
AT1G18200	-1.83448	0	0
AT1G18265	3.28077	-3.42131	0
AT1G18350	3.96531	-2.49623	0
AT1G18380	7.28095	0	0
AT1G18382	6.02157	-3.8069	1.96091
